date,country,event,impact,actual,forecast,previous
2024/08/27 05:40:00,EUR,German 5-Year Bobl Auction,Low Volatility Expected,2.170%,,2.090%
2024/08/27 06:00:00,GBP,CBI Distributive Trades Survey (Aug),Low Volatility Expected,-27,-11,-43
2024/08/27 07:00:00,BRL,Mid-Month CPI (MoM) (Aug),Low Volatility Expected,0.19%,0.20%,0.30%
2024/08/27 07:00:00,BRL,Mid-Month CPI (YoY) (Aug),Low Volatility Expected,4.35%,4.38%,4.45%
2024/08/27 08:30:00,CAD,Wholesale Sales (MoM) (Jul),Moderate Volatility Expected,-1.1%,,-0.6%
2024/08/27 08:55:00,USD,Redbook (YoY),Low Volatility Expected,5.0%,,4.9%
2024/08/27 09:00:00,USD,House Price Index (YoY) (Jun),Low Volatility Expected,5.1%,,5.9%
2024/08/27 09:00:00,USD,House Price Index (MoM) (Jun),Low Volatility Expected,-0.1%,0.1%,0.0%
2024/08/27 09:00:00,USD,House Price Index (Jun),Low Volatility Expected,424.5,,424.8
2024/08/27 09:00:00,USD,S&P/CS HPI Composite - 20 s.a. (MoM) (Jun),Low Volatility Expected,0.4%,0.3%,0.4%
2024/08/27 09:00:00,USD,S&P/CS HPI Composite - 20 n.s.a. (MoM) (Jun),Moderate Volatility Expected,0.6%,,1.0%
2024/08/27 09:00:00,USD,S&P/CS HPI Composite - 20 n.s.a. (YoY) (Jun),Moderate Volatility Expected,6.5%,6.2%,6.9%
2024/08/27 10:00:00,USD,CB Consumer Confidence (Aug),High Volatility Expected,103.3,100.9,101.9
2024/08/27 10:00:00,USD,Richmond Manufacturing Index (Aug),Low Volatility Expected,-19,-14,-17
2024/08/27 10:00:00,USD,Richmond Manufacturing Shipments (Aug),Low Volatility Expected,-15,,-21
2024/08/27 10:00:00,USD,Richmond Services Index (Aug),Low Volatility Expected,-11,,5
2024/08/27 10:00:00,EUR,German Buba President Nagel Speaks,Moderate Volatility Expected,,,
2024/08/27 10:30:00,USD,Dallas Fed Services Revenues (Aug),Low Volatility Expected,8.7,,7.7
2024/08/27 10:30:00,USD,Texas Services Sector Outlook (Aug),Low Volatility Expected,-7.7,,-0.1
2024/08/27 13:00:00,USD,2-Year Note Auction,Moderate Volatility Expected,3.874%,,4.434%
2024/08/27 13:00:00,USD,M2 Money Supply (MoM) (Jul),Low Volatility Expected,21.05T,,21.03T
2024/08/27 16:30:00,USD,API Weekly Crude Oil Stock,Moderate Volatility Expected,-3.400M,-3.000M,0.347M
2024/08/27 21:30:00,AUD,Construction Work Done (QoQ) (Q2),Moderate Volatility Expected,0.1%,0.8%,-2.0%
2024/08/27 21:30:00,AUD,Monthly CPI Indicator (YoY) (Jul),Low Volatility Expected,3.50%,3.40%,3.80%
2024/08/28 01:00:00,JPY,Coincident Indicator (MoM) (Jun),Low Volatility Expected,-3.9%,-3.4%,1.9%
2024/08/28 01:00:00,JPY,Leading Index (Jun),Low Volatility Expected,109.0,108.6,111.2
2024/08/28 01:00:00,JPY,Leading Index (MoM) (Jun),Low Volatility Expected,-2.1%,-2.6%,0.3%
2024/08/28 01:15:00,USD,Fed Waller Speaks,Moderate Volatility Expected,,,
2024/08/28 02:45:00,EUR,French Consumer Confidence (Aug),Low Volatility Expected,92,92,91
2024/08/28 04:00:00,EUR,Italian Industrial Sales (MoM) (Jun),Low Volatility Expected,0.10%,,-1.00%
2024/08/28 04:00:00,EUR,Italian Industrial Sales (YoY) (Jun),Low Volatility Expected,-3.70%,,-4.80%
2024/08/28 04:00:00,CHF,ZEW Expectations (Aug),Low Volatility Expected,-3.4,,9.4
2024/08/28 04:00:00,EUR,M3 Money Supply (YoY) (Jul),Low Volatility Expected,2.3%,2.7%,2.2%
2024/08/28 04:00:00,EUR,M3 Money Supply (Jul),Low Volatility Expected,"16,340.1B",,"16,376.6B"
2024/08/28 04:00:00,EUR,Loans to Non Financial Corporations (Jul),Low Volatility Expected,0.6%,,0.7%
2024/08/28 04:00:00,EUR,Private Sector Loans (YoY),Low Volatility Expected,0.5%,0.5%,0.3%
2024/08/28 06:00:00,EUR,Italian 6-Month BOT Auction,Low Volatility Expected,3.247%,,3.518%
2024/08/28 06:00:00,EUR,France Jobseekers Total (Jul),Moderate Volatility Expected,"2,808.4K",,"2,834.5K"
2024/08/28 06:00:00,EUR,Eurogroup Meetings,Moderate Volatility Expected,,,
2024/08/28 07:00:00,USD,MBA 30-Year Mortgage Rate,Low Volatility Expected,6.44%,,6.50%
2024/08/28 07:00:00,USD,MBA Mortgage Applications (WoW),Low Volatility Expected,0.5%,,-10.1%
2024/08/28 07:00:00,USD,MBA Purchase Index,Low Volatility Expected,131.8,,130.6
2024/08/28 07:00:00,USD,Mortgage Market Index,Low Volatility Expected,226.9,,225.8
2024/08/28 07:00:00,USD,Mortgage Refinance Index,Low Volatility Expected,753.8,,754.4
2024/08/28 08:15:00,GBP,BoE MPC Member Mann Speaks,Moderate Volatility Expected,,,
2024/08/28 10:30:00,USD,Crude Oil Inventories,High Volatility Expected,-0.846M,-2.700M,-4.649M
2024/08/28 10:30:00,USD,EIA Refinery Crude Runs (WoW),Low Volatility Expected,0.175M,,0.222M
2024/08/28 10:30:00,USD,Crude Oil Imports,Low Volatility Expected,0.282M,,0.078M
2024/08/28 10:30:00,USD,Cushing Crude Oil Inventories,Moderate Volatility Expected,-0.668M,,-0.560M
2024/08/28 10:30:00,USD,Distillate Fuel Production,Low Volatility Expected,0.110M,,0.123M
2024/08/28 10:30:00,USD,EIA Weekly Distillates Stocks,Low Volatility Expected,0.275M,-0.550M,-3.312M
2024/08/28 10:30:00,USD,Gasoline Production,Low Volatility Expected,-0.156M,,0.046M
2024/08/28 10:30:00,USD,Heating Oil Stockpiles,Low Volatility Expected,-1.189M,,0.265M
2024/08/28 10:30:00,USD,EIA Weekly Refinery Utilization Rates (WoW),Low Volatility Expected,1.0%,,0.8%
2024/08/28 10:30:00,USD,Gasoline Inventories,Low Volatility Expected,-2.203M,-1.500M,-1.606M
2024/08/28 12:00:00,RUB,Business Confidence (Aug),Low Volatility Expected,7.1,,7.0
2024/08/28 12:00:00,RUB,Industrial Production (YoY) (Jul),Low Volatility Expected,3.3%,2.2%,2.7%
2024/08/28 12:00:00,RUB,GDP Monthly (YoY) (Jul),Moderate Volatility Expected,3.4%,,3.0%
2024/08/28 12:00:00,RUB,Russian Real Wage Growth (YoY) (Jun),Low Volatility Expected,6.2%,8.3%,8.8%
2024/08/28 12:00:00,RUB,Retail Sales (YoY) (Jul),Moderate Volatility Expected,6.1%,5.4%,6.3%
2024/08/28 12:00:00,RUB,Unemployment Rate (Jul),Moderate Volatility Expected,2.4%,2.4%,2.4%
2024/08/28 13:00:00,USD,5-Year Note Auction,Moderate Volatility Expected,3.645%,,4.121%
2024/08/28 13:30:00,BRL,CAGED Net Payroll Jobs (Jul),Low Volatility Expected,188.02K,190.00K,201.71K
2024/08/28 13:30:00,BRL,Foreign Exchange Flows,Low Volatility Expected,-2.660B,,-0.573B
2024/08/28 18:00:00,USD,FOMC Member Bostic Speaks,Moderate Volatility Expected,,,
2024/08/28 19:50:00,JPY,Foreign Bonds Buying,Low Volatility Expected,"1,542.9B",,"1,850.9B"
2024/08/28 19:50:00,JPY,Foreign Investments in Japanese Stocks,Low Volatility Expected,-438.3B,,-47.5B
2024/08/28 21:00:00,NZD,ANZ Business Confidence (Aug),Low Volatility Expected,50.6,,27.1
2024/08/28 21:00:00,NZD,NBNZ Own Activity (Aug),Low Volatility Expected,37.1%,,16.3%
2024/08/28 21:30:00,AUD,Building Capital Expenditure (MoM) (Q2),Low Volatility Expected,-3.8%,,-0.9%
2024/08/28 21:30:00,AUD,Plant/Machinery Capital Expenditure (QoQ) (Q2),Low Volatility Expected,-0.5%,,3.7%
2024/08/28 21:30:00,AUD,Private New Capital Expenditure (QoQ) (Q2),Moderate Volatility Expected,-2.2%,0.9%,1.9%
2024/08/28 23:35:00,JPY,2-Year JGB Auction,Low Volatility Expected,0.385%,,0.057%
2024/08/29 01:00:00,JPY,Household Confidence (Aug),Low Volatility Expected,36.7,36.9,36.7
2024/08/29 02:00:00,GBP,Car Registration (MoM) (Jul),Low Volatility Expected,-17.7%,,21.4%
2024/08/29 02:00:00,GBP,Car Registration (YoY) (Jul),Low Volatility Expected,2.5%,,1.1%
2024/08/29 02:00:00,EUR,Italian Car Registration (YoY) (Jul),Low Volatility Expected,4.7%,,15.1%
2024/08/29 02:00:00,EUR,Italian Car Registration (MoM) (Jul),Low Volatility Expected,-21.9%,,14.7%
2024/08/29 02:00:00,EUR,German Car Registration (YoY) (Jul),Low Volatility Expected,-2.1%,,6.1%
2024/08/29 02:00:00,EUR,German Car Registration (MoM) (Jul),Low Volatility Expected,-19.9%,,25.8%
2024/08/29 02:00:00,EUR,French Car Registration (YoY) (Jul),Low Volatility Expected,-2.3%,,-4.8%
2024/08/29 02:00:00,EUR,French Car Registration (MoM) (Jul),Low Volatility Expected,-30.6%,,28.6%
2024/08/29 03:00:00,EUR,Core CPI (YoY) (Aug),Low Volatility Expected,2.7%,,2.8%
2024/08/29 03:00:00,EUR,Spanish CPI (MoM) (Aug),Low Volatility Expected,0.0%,0.1%,-0.5%
2024/08/29 03:00:00,EUR,Spanish CPI (YoY) (Aug),Moderate Volatility Expected,2.2%,2.4%,2.8%
2024/08/29 03:00:00,EUR,Spanish HICP (MoM) (Aug),Low Volatility Expected,0.0%,0.2%,-0.7%
2024/08/29 03:00:00,EUR,Spanish HICP (YoY) (Aug),Moderate Volatility Expected,2.4%,2.5%,2.9%
2024/08/29 03:15:00,EUR,ECB's Schnabel Speaks,Moderate Volatility Expected,,,
2024/08/29 04:00:00,EUR,Baden Wuerttemberg CPI (YoY) (Aug),Low Volatility Expected,1.5%,,2.1%
2024/08/29 04:00:00,EUR,Baden Wuerttemberg CPI (MoM) (Aug),Low Volatility Expected,-0.3%,,0.3%
2024/08/29 04:00:00,EUR,Bavaria CPI (MoM) (Aug),Low Volatility Expected,-0.1%,,0.3%
2024/08/29 04:00:00,EUR,Bavaria CPI (YoY) (Aug),Low Volatility Expected,2.1%,,2.5%
2024/08/29 04:00:00,EUR,Brandenburg CPI (YoY) (Aug),Low Volatility Expected,1.7%,,2.6%
2024/08/29 04:00:00,EUR,Brandenburg CPI (MoM) (Aug),Low Volatility Expected,-0.2%,,0.3%
2024/08/29 04:00:00,EUR,Hesse CPI (YoY) (Aug),Low Volatility Expected,1.5%,,1.8%
2024/08/29 04:00:00,EUR,Hesse CPI (MoM) (Aug),Low Volatility Expected,-0.1%,,0.3%
2024/08/29 04:00:00,EUR,North Rhine Westphalia CPI (MoM) (Aug),Low Volatility Expected,-0.3%,,0.3%
2024/08/29 04:00:00,EUR,North Rhine Westphalia CPI (YoY) (Aug),Low Volatility Expected,1.7%,,2.3%
2024/08/29 04:00:00,EUR,Saxony CPI (YoY) (Aug),Low Volatility Expected,2.6%,,3.1%
2024/08/29 04:00:00,EUR,Saxony CPI (MoM) (Aug),Low Volatility Expected,-0.2%,,0.6%
2024/08/29 05:00:00,EUR,Business and Consumer Survey (Aug),Low Volatility Expected,96.6,95.8,96.0
2024/08/29 05:00:00,EUR,Business Climate (Aug),Low Volatility Expected,-0.62,,-0.61
2024/08/29 05:00:00,EUR,Consumer Confidence (Aug),Low Volatility Expected,-13.5,-13.4,-13.0
2024/08/29 05:00:00,EUR,Consumer Inflation Expectation (Aug),Low Volatility Expected,11.3,,11.3
2024/08/29 05:00:00,EUR,Selling Price Expectations (Aug),Low Volatility Expected,6.1,,6.7
2024/08/29 05:00:00,EUR,Services Sentiment (Aug),Low Volatility Expected,6.3,5.2,5.0
2024/08/29 05:00:00,EUR,Industrial Sentiment (Aug),Low Volatility Expected,-9.7,-10.6,-10.4
2024/08/29 05:15:00,EUR,ECB's Lane Speaks,Moderate Volatility Expected,,,
2024/08/29 05:30:00,EUR,Italian 10-Year BTP Auction,Moderate Volatility Expected,3.68%,,3.76%
2024/08/29 05:30:00,EUR,Italian 5-Year BTP Auction,Low Volatility Expected,3.08%,,3.14%
2024/08/29 05:30:00,ZAR,PPI (YoY) (Jul),Low Volatility Expected,4.2%,,4.6%
2024/08/29 05:30:00,ZAR,PPI (MoM) (Jul),Low Volatility Expected,-0.2%,,-0.3%
2024/08/29 06:00:00,EUR,Eurogroup Meetings,Moderate Volatility Expected,,,
2024/08/29 07:00:00,EUR,Spanish Business Confidence (Jul),Low Volatility Expected,-3.6,,-4.2
2024/08/29 07:00:00,BRL,IGP-M Inflation Index (MoM) (Aug),Low Volatility Expected,0.29%,0.46%,0.61%
2024/08/29 07:30:00,BRL,Bank lending (MoM) (Jul),Low Volatility Expected,0.2%,,1.4%
2024/08/29 08:00:00,EUR,German CPI (MoM) (Aug),High Volatility Expected,-0.1%,0.0%,0.3%
2024/08/29 08:00:00,EUR,German CPI (YoY) (Aug),Moderate Volatility Expected,1.9%,2.1%,2.3%
2024/08/29 08:00:00,EUR,German HICP (MoM) (Aug),Low Volatility Expected,-0.2%,0.0%,0.5%
2024/08/29 08:00:00,EUR,German HICP (YoY) (Aug),Low Volatility Expected,2.0%,2.3%,2.6%
2024/08/29 08:00:00,BRL,Brazilian PPI (MoM) (Jul),Low Volatility Expected,1.58%,,1.26%
2024/08/29 08:30:00,USD,Continuing Jobless Claims,Moderate Volatility Expected,"1,868K","1,870K","1,855K"
2024/08/29 08:30:00,USD,Core PCE Prices (Q2),Moderate Volatility Expected,2.80%,2.90%,3.70%
2024/08/29 08:30:00,USD,Corporate Profits (QoQ) (Q2),Low Volatility Expected,1.7%,,-2.7%
2024/08/29 08:30:00,USD,GDP (QoQ) (Q2),High Volatility Expected,3.0%,2.8%,1.4%
2024/08/29 08:30:00,USD,GDP Price Index (QoQ) (Q2),Moderate Volatility Expected,2.5%,2.3%,3.1%
2024/08/29 08:30:00,USD,GDP Sales (Q2),Low Volatility Expected,2.2%,2.0%,1.8%
2024/08/29 08:30:00,USD,Goods Trade Balance (Jul),Moderate Volatility Expected,-102.66B,-97.70B,-96.56B
2024/08/29 08:30:00,USD,Initial Jobless Claims,High Volatility Expected,231K,232K,233K
2024/08/29 08:30:00,USD,Jobless Claims 4-Week Avg.,Low Volatility Expected,231.50K,,236.25K
2024/08/29 08:30:00,USD,PCE Prices (Q2),Low Volatility Expected,2.5%,2.6%,3.4%
2024/08/29 08:30:00,USD,Real Consumer Spending (Q2),Low Volatility Expected,2.9%,2.3%,1.5%
2024/08/29 08:30:00,USD,Retail Inventories Ex Auto (Jul),Moderate Volatility Expected,0.5%,,0.3%
2024/08/29 08:30:00,USD,Wholesale Inventories (MoM),Low Volatility Expected,0.3%,0.3%,0.1%
2024/08/29 08:30:00,CAD,Average Weekly Earnings (YoY) (Jun),Low Volatility Expected,3.99%,,4.11%
2024/08/29 08:30:00,CAD,Current Account (Q2),Moderate Volatility Expected,-8.5B,-6.0B,-5.4B
2024/08/29 09:00:00,RUB,Central Bank reserves (USD),Low Volatility Expected,614.5B,,609.9B
2024/08/29 10:00:00,USD,Pending Home Sales (MoM) (Jul),Moderate Volatility Expected,-5.5%,0.2%,4.8%
2024/08/29 10:00:00,USD,Pending Home Sales Index (Jul),Low Volatility Expected,70.2,,74.3
2024/08/29 10:30:00,USD,Natural Gas Storage,Low Volatility Expected,35B,33B,35B
2024/08/29 11:30:00,USD,4-Week Bill Auction,Low Volatility Expected,5.170%,,5.240%
2024/08/29 11:30:00,USD,8-Week Bill Auction,Low Volatility Expected,5.100%,,5.125%
2024/08/29 12:00:00,CHF,SNB Chairman Thomas Jordan speaks,Moderate Volatility Expected,,,
2024/08/29 13:00:00,USD,7-Year Note Auction,Moderate Volatility Expected,3.770%,,4.162%
2024/08/29 13:00:00,EUR,German Buba President Nagel Speaks,Moderate Volatility Expected,,,
2024/08/29 15:30:00,USD,FOMC Member Bostic Speaks,Moderate Volatility Expected,,,
2024/08/29 16:30:00,USD,Fed's Balance Sheet,Moderate Volatility Expected,"7,123B",,"7,194B"
2024/08/29 16:30:00,USD,Reserve Balances with Federal Reserve Banks,Low Volatility Expected,3.245T,,3.359T
2024/08/29 18:45:00,NZD,Building Consents (MoM) (Jul),Low Volatility Expected,26.2%,,-17.0%
2024/08/29 19:00:00,KRW,Industrial Production (MoM) (Jul),Low Volatility Expected,-3.6%,-0.4%,0.7%
2024/08/29 19:00:00,KRW,Industrial Production (YoY) (Jul),Low Volatility Expected,5.5%,7.0%,3.8%
2024/08/29 19:00:00,KRW,Retail Sales (MoM) (Jul),Low Volatility Expected,-1.9%,,1.0%
2024/08/29 19:00:00,KRW,Service Sector Output (MoM) (Jul),Low Volatility Expected,0.7%,,0.3%
2024/08/29 19:30:00,JPY,CPI Tokyo Ex Food & Energy (YoY) (Aug),Low Volatility Expected,1.6%,,1.1%
2024/08/29 19:30:00,JPY,Jobs/applications ratio (Jul),Low Volatility Expected,1.24,1.23,1.23
2024/08/29 19:30:00,JPY,Tokyo Core CPI (YoY) (Aug),Moderate Volatility Expected,2.4%,2.2%,2.2%
2024/08/29 19:30:00,JPY,Tokyo CPI (YoY) (Aug),Low Volatility Expected,2.6%,,2.2%
2024/08/29 19:30:00,JPY,CPI Tokyo Ex Food and Energy (MoM) (Aug),Low Volatility Expected,0.5%,,0.2%
2024/08/29 19:30:00,JPY,Unemployment Rate (Jul),Low Volatility Expected,2.7%,2.5%,2.5%
2024/08/29 19:50:00,JPY,Industrial Production (MoM) (Jul),Moderate Volatility Expected,2.8%,3.6%,-4.2%
2024/08/29 19:50:00,JPY,Industrial Production forecast 1m ahead (MoM) (Aug),Low Volatility Expected,2.2%,,6.5%
2024/08/29 19:50:00,JPY,Industrial Production forecast 2m ahead (MoM) (Sep),Low Volatility Expected,-3.3%,,0.7%
2024/08/29 19:50:00,JPY,Large Retailers' Sales (MoM) (Jul),Low Volatility Expected,0.2%,,0.6%
2024/08/29 19:50:00,JPY,Large Scale Retail Sales YoY (YoY) (Jul),Low Volatility Expected,1.0%,,7.0%
2024/08/29 19:50:00,JPY,Retail Sales (YoY) (Jul),Low Volatility Expected,2.6%,2.8%,3.8%
2024/08/29 21:30:00,AUD,Housing Credit (Jul),Low Volatility Expected,0.5%,,0.4%
2024/08/29 21:30:00,AUD,Private Sector Credit (MoM) (Jul),Low Volatility Expected,0.5%,0.5%,0.6%
2024/08/29 21:30:00,AUD,Retail Sales (MoM) (Jul),Moderate Volatility Expected,0.0%,0.3%,0.5%
2024/08/29 22:00:00,SGD,Bank Lending (Jul),Low Volatility Expected,801.2B,,803.6B
2024/08/29 23:00:00,NZD,M3 Money Supply (Jul),Low Volatility Expected,416.1B,,412.9B
2024/08/30 01:00:00,JPY,Construction Orders (YoY) (Jul),Low Volatility Expected,62.8%,,-19.7%
2024/08/30 01:00:00,JPY,Housing Starts (YoY) (Jul),Low Volatility Expected,-0.2%,-1.1%,-6.7%
2024/08/30 01:30:00,EUR,French Non-Farm Payrolls (QoQ) (Q2),Low Volatility Expected,0.0%,0.0%,0.0%
2024/08/30 02:00:00,GBP,Nationwide HPI (YoY) (Aug),Moderate Volatility Expected,2.4%,2.9%,2.1%
